[2020-01-11T17:47:26] T = 0 / 50000000 | Avg. reward: -200.0 | Avg. Q: 0.01777130365371704
[2020-01-11T17:51:04] T = 2000 / 50000000 | Avg. reward: -200.0 | Avg. Q: 0.01516762375831604
[2020-01-11T17:53:10] T = 3000 / 50000000 | Avg. reward: -196.58025997538118 | Avg. Q: -8.096746444702148
[2020-01-11T17:55:12] T = 4000 / 50000000 | Avg. reward: -197.78726457268 | Avg. Q: -7.611020088195801
[2020-01-11T17:57:13] T = 5000 / 50000000 | Avg. reward: -196.60374226314946 | Avg. Q: -7.94052791595459
[2020-01-11T17:59:15] T = 6000 / 50000000 | Avg. reward: -197.77714437827467 | Avg. Q: -7.850863933563232
[2020-01-11T18:01:17] T = 7000 / 50000000 | Avg. reward: -198.86196139931678 | Avg. Q: -7.26206111907959
[2020-01-11T18:03:19] T = 8000 / 50000000 | Avg. reward: -197.74972392547875 | Avg. Q: -7.786905288696289
[2020-01-11T18:05:20] T = 9000 / 50000000 | Avg. reward: -196.61176167741417 | Avg. Q: -9.414803504943848
[2020-01-11T18:06:38] T = 0 / 50000000 | Avg. reward: -200.0 | Avg. Q: 0.03405189514160156
[2020-01-11T18:11:39] T = 0 / 50000000 | Avg. reward: -196.50833760584703 | Avg. Q: 0.01302233338356018
[2020-01-11T18:30:00] T = 10000 / 50000000 | Avg. reward: -197.78420485625043 | Avg. Q: -9.444924354553223
[2020-01-11T18:48:47] T = 20000 / 50000000 | Avg. reward: -198.8925048100017 | Avg. Q: -9.83052921295166
[2020-01-11T19:07:32] T = 30000 / 50000000 | Avg. reward: -198.8858708167635 | Avg. Q: -9.812006950378418
[2020-01-11T19:26:18] T = 40000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.893268585205078
[2020-01-11T19:45:05] T = 50000 / 50000000 | Avg. reward: -198.89084474287927 | Avg. Q: -9.841440200805664
[2020-01-11T20:03:55] T = 60000 / 50000000 | Avg. reward: -197.7294647428114 | Avg. Q: -9.837387084960938
[2020-01-11T20:22:44] T = 70000 / 50000000 | Avg. reward: -198.90077339962124 | Avg. Q: -9.819222450256348
[2020-01-11T20:41:32] T = 80000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.810896873474121
[2020-01-11T21:00:21] T = 90000 / 50000000 | Avg. reward: -197.76339954718947 | Avg. Q: -9.858963966369629
[2020-01-11T21:19:08] T = 100000 / 50000000 | Avg. reward: -197.78634893963113 | Avg. Q: -9.842129707336426
[2020-01-11T21:37:57] T = 110000 / 50000000 | Avg. reward: -197.7788566679135 | Avg. Q: -9.800475120544434
[2020-01-11T21:56:45] T = 120000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.845534324645996
[2020-01-11T22:15:35] T = 130000 / 50000000 | Avg. reward: -198.8443966401927 | Avg. Q: -9.839900016784668
[2020-01-11T22:34:26] T = 140000 / 50000000 | Avg. reward: -198.83812597637996 | Avg. Q: -9.823084831237793
[2020-01-11T22:53:18] T = 150000 / 50000000 | Avg. reward: -197.7801627900824 | Avg. Q: -9.837172508239746
[2020-01-11T23:12:05] T = 160000 / 50000000 | Avg. reward: -198.89402310375124 | Avg. Q: -9.834440231323242
[2020-01-11T23:30:55] T = 170000 / 50000000 | Avg. reward: -198.88307436008006 | Avg. Q: -9.803924560546875
[2020-01-11T23:49:43] T = 180000 / 50000000 | Avg. reward: -197.8032002833113 | Avg. Q: -9.830073356628418
[2020-01-12T00:08:31] T = 190000 / 50000000 | Avg. reward: -197.74031616210937 | Avg. Q: -9.836222648620605
[2020-01-12T00:27:26] T = 200000 / 50000000 | Avg. reward: -198.8988168818131 | Avg. Q: -9.838692665100098
[2020-01-12T00:46:16] T = 210000 / 50000000 | Avg. reward: -198.86913400247693 | Avg. Q: -9.83371639251709
[2020-01-12T01:05:06] T = 220000 / 50000000 | Avg. reward: -198.83707646559458 | Avg. Q: -9.839276313781738
[2020-01-12T01:23:56] T = 230000 / 50000000 | Avg. reward: -198.90802745718509 | Avg. Q: -9.797492980957031
[2020-01-12T01:42:47] T = 240000 / 50000000 | Avg. reward: -198.86082772595807 | Avg. Q: -9.826445579528809
[2020-01-12T02:01:33] T = 250000 / 50000000 | Avg. reward: -198.88493630813434 | Avg. Q: -9.815678596496582
[2020-01-12T02:20:24] T = 260000 / 50000000 | Avg. reward: -198.89794878346845 | Avg. Q: -9.862776756286621
[2020-01-12T02:39:13] T = 270000 / 50000000 | Avg. reward: -198.89804630365222 | Avg. Q: -9.849150657653809
[2020-01-12T02:58:03] T = 280000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.842191696166992
[2020-01-12T03:16:54] T = 290000 / 50000000 | Avg. reward: -197.77398842968046 | Avg. Q: -9.82099723815918
[2020-01-12T03:35:43] T = 300000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.821000099182129
[2020-01-12T03:54:33] T = 310000 / 50000000 | Avg. reward: -198.89689504645764 | Avg. Q: -9.816739082336426
[2020-01-12T04:13:21] T = 320000 / 50000000 | Avg. reward: -198.89802774192765 | Avg. Q: -9.810125350952148
[2020-01-12T04:32:10] T = 330000 / 50000000 | Avg. reward: -198.89164443790912 | Avg. Q: -9.816839218139648
[2020-01-12T04:51:01] T = 340000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.801228523254395
[2020-01-12T05:09:54] T = 350000 / 50000000 | Avg. reward: -198.8901980078034 | Avg. Q: -9.852402687072754
[2020-01-12T05:28:47] T = 360000 / 50000000 | Avg. reward: -198.88663158856332 | Avg. Q: -9.813276290893555
[2020-01-12T05:47:37] T = 370000 / 50000000 | Avg. reward: -197.78106258459388 | Avg. Q: -9.805887222290039
[2020-01-12T06:06:25] T = 380000 / 50000000 | Avg. reward: -197.7517578047607 | Avg. Q: -9.820586204528809
[2020-01-12T06:25:15] T = 390000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.850722312927246
[2020-01-12T06:44:07] T = 400000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.858124732971191
[2020-01-12T07:02:58] T = 410000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.827055931091309
[2020-01-12T07:21:48] T = 420000 / 50000000 | Avg. reward: -197.764898134619 | Avg. Q: -9.837262153625488
[2020-01-12T07:40:39] T = 430000 / 50000000 | Avg. reward: -198.88952533679083 | Avg. Q: -9.810011863708496
[2020-01-12T07:59:34] T = 440000 / 50000000 | Avg. reward: -197.70354120001662 | Avg. Q: -9.797481536865234
[2020-01-12T08:18:28] T = 450000 / 50000000 | Avg. reward: -198.90024906734004 | Avg. Q: -9.819024085998535
[2020-01-12T08:37:21] T = 460000 / 50000000 | Avg. reward: -198.89199224125593 | Avg. Q: -9.8041353225708
[2020-01-12T08:56:14] T = 470000 / 50000000 | Avg. reward: -197.72956714987754 | Avg. Q: -9.844511032104492
[2020-01-12T09:15:04] T = 480000 / 50000000 | Avg. reward: -197.72524677076376 | Avg. Q: -9.847640991210938
[2020-01-12T09:33:54] T = 490000 / 50000000 | Avg. reward: -197.71961112028453 | Avg. Q: -9.817090034484863
[2020-01-12T09:52:50] T = 500000 / 50000000 | Avg. reward: -196.60123509074094 | Avg. Q: -9.831605911254883
[2020-01-12T10:11:42] T = 510000 / 50000000 | Avg. reward: -197.73094228398054 | Avg. Q: -9.827034950256348
[2020-01-12T10:30:34] T = 520000 / 50000000 | Avg. reward: -197.7452050601039 | Avg. Q: -9.807116508483887
[2020-01-12T10:49:25] T = 530000 / 50000000 | Avg. reward: -198.88365859502926 | Avg. Q: -9.815557479858398
[2020-01-12T11:08:18] T = 540000 / 50000000 | Avg. reward: -197.77241576182655 | Avg. Q: -9.80759334564209
[2020-01-12T11:27:10] T = 550000 / 50000000 | Avg. reward: -198.84672373032197 | Avg. Q: -9.828473091125488
[2020-01-12T11:46:02] T = 560000 / 50000000 | Avg. reward: -198.8360331191169 | Avg. Q: -9.833353996276855
[2020-01-12T12:04:55] T = 570000 / 50000000 | Avg. reward: -197.66924801095388 | Avg. Q: -9.82532024383545
[2020-01-12T12:23:46] T = 580000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.81578540802002
[2020-01-12T12:42:40] T = 590000 / 50000000 | Avg. reward: -197.7991724910587 | Avg. Q: -9.810981750488281
[2020-01-12T13:01:33] T = 600000 / 50000000 | Avg. reward: -198.88531416526064 | Avg. Q: -9.822050094604492
[2020-01-12T13:20:32] T = 610000 / 50000000 | Avg. reward: -197.77995726907625 | Avg. Q: -9.830106735229492
[2020-01-12T13:39:28] T = 620000 / 50000000 | Avg. reward: -198.86476132098585 | Avg. Q: -9.819138526916504
[2020-01-12T13:58:26] T = 630000 / 50000000 | Avg. reward: -197.80070997051894 | Avg. Q: -9.818642616271973
[2020-01-12T14:17:25] T = 640000 / 50000000 | Avg. reward: -197.77289397943764 | Avg. Q: -9.836535453796387
[2020-01-12T14:36:23] T = 650000 / 50000000 | Avg. reward: -196.6098189931223 | Avg. Q: -9.826506614685059
[2020-01-12T14:55:23] T = 660000 / 50000000 | Avg. reward: -198.85615699586458 | Avg. Q: -9.833348274230957
[2020-01-12T15:14:21] T = 670000 / 50000000 | Avg. reward: -197.63893786712083 | Avg. Q: -9.841257095336914
[2020-01-12T15:33:17] T = 680000 / 50000000 | Avg. reward: -198.89460604649037 | Avg. Q: -9.81452465057373
[2020-01-12T15:52:15] T = 690000 / 50000000 | Avg. reward: -197.74580992151982 | Avg. Q: -9.825056076049805
[2020-01-12T16:11:11] T = 700000 / 50000000 | Avg. reward: -198.90071938849985 | Avg. Q: -9.827774047851562
[2020-01-12T16:30:12] T = 710000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.837424278259277
[2020-01-12T16:49:13] T = 720000 / 50000000 | Avg. reward: -195.29054329798555 | Avg. Q: -9.826568603515625
